Resource,Zone,StartCap,RetCap,NewCap,EndCap,EnergyCap
Solar,1,31.119,0.0,305.131,336.25,0.0
Wind,1,8.6,0.0,10.17049,18.77049,0.0
Biomass,1,3.39718,0.0,6.32382,9.721,0.0
Pumped Hydro Storage,1,1.0,0.0,0.664823272,1.664823272,0.0
Hydro Reservoir,1,4.531,0.0,0.0,4.531,0.0
Hydro Run of River,1,19.87377,0.0,6.073508777,25.947278777,0.0
Nuclear Old,1,2.6794,0.0,0.0,2.6794,0.0
Nuclear New,1,0.0,0.0,5.0288,5.0288,0.0
CCGT Old,1,2.739740348,0.0,0.0,2.739740348,0.0
CCGT New,1,0.0,0.0,0.0,0.0,0.0
Coal Old,1,33.379435,0.0,0.0,33.379435,0.0
Coal new,1,0.0,0.0,0.0,0.0,0.0
Solar,2,28.41,0.0,152.49,180.9,0.0
Wind,2,22.6,0.0,117.78614,140.38614,0.0
Biomass,2,3.19406,0.0,3.64094,6.835,0.0
Pumped Hydro Storage,2,0.64,0.0,2.085335426,2.725335426,0.0
Hydro Reservoir,2,4.621,0.0,0.0,4.621,0.0
Hydro Run of River,2,2.256,0.0,0.0,2.256,0.0
Nuclear Old,2,2.8806,0.0,0.0,2.8806,0.0
Nuclear New,2,0.0,0.0,4.8492,4.8492,0.0
CCGT Old,2,5.485869732,0.0,0.0,5.485869732,0.0
CCGT New,2,0.0,0.0,8.081293653525792,8.081293653525792,0.0
Coal Old,2,64.936169,0.0,0.0,64.936169,0.0
Coal new,2,0.0,0.0,0.0,0.0,0.0
Solar,3,26.531,0.0,80.799,107.33000000000001,0.0
Wind,3,28.2,0.0,111.62946,139.82945999999998,0.0
Biomass,3,3.30346,0.0,2.03254,5.336,0.0
Pumped Hydro Storage,3,1.3,0.0,0.867570951,2.167570951,0.0
Hydro Reservoir,3,6.6081,0.0,0.0,6.6081,0.0
Hydro Run of River,3,5.69035,0.0,0.0,5.69035,0.0
Nuclear Old,3,3.43036,0.0,0.0,3.43036,0.0
Nuclear New,3,0.0,0.0,9.5188,9.5188,0.0
CCGT Old,3,3.604022842,0.0,0.0,3.604022842,0.0
CCGT New,3,0.0,0.0,11.145721909108419,11.145721909108419,0.0
Coal Old,3,35.7887125,0.0,0.0,35.7887125,0.0
Coal new,3,0.0,0.0,0.0,0.0,0.0
Solar,4,12.237,0.0,54.123,66.36,0.0
Biomass,4,0.70961,0.0,1.19639,1.9060000000000001,0.0
Pumped Hydro Storage,4,0.94,0.0,0.451021839,1.391021839,0.0
Hydro Reservoir,4,2.14225,0.0,0.0,2.14225,0.0
Hydro Run of River,4,3.07145,0.0,1.122452374,4.193902374,0.0
Nuclear New,4,0.0,0.0,0.898,0.898,0.0
CCGT New,4,0.0,0.0,0.0,0.0,0.0
Coal Old,4,27.523555,0.0,0.0,27.523555,0.0
Coal new,4,0.0,0.0,0.0,0.0,0.0
Solar,5,1.206,0.0,37.53191749832527,38.737917498325274,0.0
Biomass,5,0.0,0.0,0.274,0.274,0.0
Pumped Hydro Storage,5,0.0,0.0,0.931248512,0.931248512,0.0
Hydro Reservoir,5,0.105,0.0,0.0,0.105,0.0
Hydro Run of River,5,3.26574,0.0,3.479373453130383,6.745113453130383,0.0
CCGT Old,5,0.983853972,0.0,0.0,0.983853972,0.0
Coal Old,5,0.67875,0.0,0.0,0.67875,0.0
Backup,1,7.748866281,0.0,0.0,7.748866281,0.0
Backup,3,1.030580762,0.0,0.0,1.030580762,0.0
Backup,5,1.220552957,0.0,0.0,1.220552957,0.0
Batteries,1,0.0,0.0,198.44625258952533,198.44625258952533,0.0
Batteries,2,0.0,0.0,60.89495596441651,60.89495596441651,0.0
Batteries,3,0.0,0.0,74.02398209731052,74.02398209731052,0.0
Batteries,4,0.0,0.0,63.23848972051819,63.23848972051819,0.0
Batteries,5,0.0,0.0,32.242954784575396,32.242954784575396,0.0
Total,n/a,419.662438394,0.0,1367.1724828214358,1786.834921215436,0.0
