Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t10,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,7.748866281,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,7.748866281,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,0.0,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,7.748866281,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,69.42312985733264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595504632525671,7.748866281,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,76.83499158839426,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.830833333333334,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.830833333333334,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666663,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666663,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666668,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666665,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.575899999999999,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666668,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666665,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.575899999999999,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666665,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666665,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666663,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666663,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,1.220552957,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,7.748866281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,3.39718,0.0,0.0,0.0,9.923703703703701,10.476666666666667,0.0,38.55131884140588,25.145199545617686,0.0,0.0,0.0,3.19406,0.0,0.0,0.0,8.001666666666662,10.102500000000001,0.0,40.6629892873813,162.34042250000002,0.0,0.0,0.0,3.30346,0.0,0.0,0.0,8.5759,19.83083333333333,8.008939648888889,98.71493721520788,0.0,0.0,0.0,0.70961,0.0,0.0,0.0,1.8708333333333336,83.42614684791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568313370821444,0.0,1.030580762,1.220552957,0.0,0.0,0.0,0.0,0.0
